ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
CCCC,CCCC,USA,--,--,3.56,USD,3.95,9.9,393.6,3054.2,9.07,3.47,Bullish,BUY,,35.9,7.81,2026-05-17T11:18:25.608568
EBS,EBS,USA,--,--,7.94,USD,14.06,43.5,409.7,867.0,-39.62,-49.85,Bearish,Strong BUY,,705.2,2.41,2026-05-17T11:18:25.936229
SYK,SYK,USA,--,--,306.76,USD,404.87,24.2,117599.8,2229.5,-73.81,-72.47,OVERSOLD,Turning Up,,25116.0,1.21,2026-05-17T11:18:26.253888
MDT,MDT,USA,--,--,76.15,USD,106.33,28.4,97767.8,8837.4,-87.59,-86.95,OVERSOLD,Turning Up,,33537.0,1.42,2026-05-17T11:18:26.298776
NJR,NJR,USA,--,--,57.33,USD,57.91,1.0,5785.8,540.8,50.6,52.6,OVERBOUGHT,Turning Up,,2036.4,0.4,2026-05-17T11:18:26.394035
BAK,BAK,USA,--,--,4.9,USD,5.39,9.2,1952.6,2834.2,-26.71,-40.2,Bearish,Strong BUY,,70717.0,0.5,2026-05-17T11:18:26.595520
ABBV,ABBV,USA,--,--,210.39,USD,244.81,14.1,371715.5,6771.0,-39.89,-47.55,Bearish,Strong BUY,,61160.0,0.56,2026-05-17T11:18:26.665168
OABI,OABI,USA,--,--,2.18,USD,2.3,5.0,316.0,544.9,-12.12,-38.87,Bearish,Strong BUY,,18.7,4.02,2026-05-17T11:18:26.780450
HPK,HPK,USA,--,--,7.1,USD,12.0,40.8,897.1,1034.6,6.15,7.38,Bullish,Turning Up,,863.4,1.1,2026-05-17T11:18:26.903634
CANG,CANG,USA,--,--,0.54,USD,2.88,81.2,221.5,1278.9,-31.95,-47.89,Bearish,Strong BUY,,688.1,0.7,2026-05-17T11:18:26.968369
SU,SU,USA,--,--,68.29,USD,70.29,2.8,80633.1,4780.5,52.6,54.34,OVERBOUGHT,Turning Up,,52377.0,0.89,2026-05-17T11:18:27.246088
UMAC,UMAC,USA,--,--,16.2,USD,23.38,30.7,774.3,4449.7,-39.19,-42.26,Bearish,Strong BUY,,11.2,59.27,2026-05-17T11:18:27.417963
KNTK,KNTK,USA,--,--,51.27,USD,51.51,0.5,3773.6,1347.5,56.01,53.92,OVERBOUGHT,BUY,,1764.4,0.69,2026-05-17T11:18:27.488371
