ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,divergence_bull,divergence_desc,vol_confirm,rs_12m,eps_ttm,sales_ttm_mln,quick_ratio,roic,debt_equity,gross_margin,scanned_at,tech_score
KTOS,KTOS,USA,--,--,51.87,USD,134.0,61.3,9726.7,4820.1,-62.32,-67.73,OVERSOLD,Strong BUY,True,"div_bull (cena -2.5%, SMI +1.0)",False,,,1346.8,3.46,0.0112,0.073,0.2286,2026-08-05T12:55:22.195886,8
AGNT,AGNT,USA,--,--,4.22,USD,12.23,65.5,693.4,1466.1,-65.97,-67.85,OVERSOLD,Strong BUY,True,"div_bull (cena -12.6%, SMI +2.2)",False,,,4772.3,1.53,-0.1811,0.0,0.0699,2026-08-05T12:55:23.502881,8
QXO,QXO,USA,--,--,15.34,USD,27.61,44.4,15919.9,22223.6,-64.47,-66.52,OVERSOLD,Strong BUY,False,,True,,,6842.2,2.61,-0.017,0.403,0.2299,2026-08-05T12:55:12.017297,7
LDOS,LDOS,USA,--,--,130.6,USD,205.77,36.5,16427.6,1643.3,-11.88,-35.03,Bearish,Strong BUY,False,,True,,,17174.0,1.58,0.1683,1.065,0.1804,2026-08-05T12:55:15.251174,7
AMRC,AMRC,USA,--,--,27.94,USD,44.93,37.8,1482.7,647.7,-57.28,-66.69,OVERSOLD,Strong BUY,False,,True,,,1932.1,1.5,0.0374,1.801,0.1573,2026-08-05T12:55:18.342193,7
GFI,GFI,USA,--,--,34.11,USD,61.64,44.7,30508.6,3600.4,-66.02,-68.19,OVERSOLD,Strong BUY,False,,False,,,8751.3,1.33,0.2582,0.382,0.5529,2026-08-05T12:55:19.354311,7
HSY,HSY,USA,--,--,179.04,USD,239.48,25.2,35973.7,2053.2,-47.86,-51.69,OVERSOLD,Strong BUY,True,"div_bull (cena -0.7%, SMI +6.1)",False,,,11692.6,0.72,0.1085,1.238,0.3355,2026-08-05T12:55:19.443627,7
ELE,ELE,USA,--,--,16.62,USD,26.96,38.4,1070.0,405.6,-33.63,-41.01,Bearish,Strong BUY,True,"div_bull (cena -3.1%, SMI +14.0)",False,,,43.6,6.58,0.0044,0.001,0.6257,2026-08-05T12:55:19.972876,7
TARS,TARS,USA,--,--,61.11,USD,85.25,28.3,2666.3,973.9,-36.52,-36.51,Bearish,Strong BUY,True,"div_bull (cena -1.9%, SMI +37.6)",False,,,451.4,3.82,-0.2923,0.211,0.932,2026-08-05T12:55:20.887948,7
AEIS,AEIS,USA,--,--,341.39,USD,397.44,14.1,13659.2,984.5,-23.22,-31.21,Bearish,Strong BUY,False,,True,,,1798.8,1.17,0.2093,0.498,0.3766,2026-08-05T12:55:22.907362,7
CELH,CELH,USA,--,--,29.54,USD,66.74,55.7,7551.6,9552.3,-38.39,-39.43,Bearish,Strong BUY,True,"div_bull (cena -3.6%, SMI +26.0)",False,,,2515.3,1.37,0.1111,0.228,0.5039,2026-08-05T12:55:29.498209,7
NB,NB,USA,--,--,5.19,USD,12.58,58.7,755.6,3586.7,-53.62,-61.78,OVERSOLD,Strong BUY,False,,False,,,0.0,2.23,-1.8978,0.005,,2026-08-05T12:55:10.188500,6
LGN,LGN,USA,--,--,66.49,USD,107.24,38.0,10920.8,1578.5,-45.36,-47.57,OVERSOLD,Strong BUY,False,,False,,,2550.5,1.55,0.0534,1.653,0.2101,2026-08-05T12:55:10.975713,6
ECG,ECG,USA,--,--,136.16,USD,171.58,20.6,6949.8,651.1,-38.53,-40.55,Bearish,Strong BUY,False,,False,,,3746.4,1.7,0.2317,0.591,0.1212,2026-08-05T12:55:15.468968,6
ARIS,ARIS,USA,--,--,14.71,USD,23.29,36.8,3036.6,1452.4,-64.17,-64.37,OVERSOLD,Strong BUY,False,,False,,,927.7,1.58,0.0987,0.363,0.4961,2026-08-05T12:55:16.881294,6
AMSC,AMSC,USA,--,--,33.45,USD,70.49,52.5,1621.1,1085.6,-74.28,-75.47,OVERSOLD,Strong BUY,False,,False,,,299.2,1.65,0.0339,0.007,0.3055,2026-08-05T12:55:19.824430,6
SLDP,SLDP,USA,--,--,2.3,USD,8.86,74.0,517.5,5481.7,-83.48,-85.48,OVERSOLD,Strong BUY,False,,False,,,17.9,15.92,-0.242,0.019,-0.1527,2026-08-05T12:55:21.776161,6
URG,URG,USA,--,--,1.3,USD,2.35,44.7,516.5,11192.2,-83.73,-83.86,OVERSOLD,Strong BUY,False,,False,,,27.2,4.56,-0.4532,0.881,0.0027,2026-08-05T12:55:22.842653,6
DNN,DNN,USA,--,--,2.98,USD,4.43,32.7,2697.0,24568.7,-53.57,-54.81,OVERSOLD,Strong BUY,False,,False,,,4.9,10.51,-0.1419,0.803,-0.161,2026-08-05T12:55:22.986324,6
LWLG,LWLG,USA,--,--,7.95,USD,18.71,57.5,1224.9,5710.3,-75.57,-80.71,OVERSOLD,Strong BUY,False,,False,,,0.2,32.69,-2.0419,0.035,0.9712,2026-08-05T12:55:23.193223,6
FLY,FLY,USA,--,--,23.33,USD,73.8,68.4,3831.6,6724.6,-84.31,-84.91,OVERSOLD,Strong BUY,False,,False,,,159.9,4.51,-0.2833,0.259,0.1918,2026-08-05T12:55:23.492882,6
CGNT,CGNT,USA,--,--,9.3,USD,12.31,24.5,685.5,723.7,-52.29,-54.96,OVERSOLD,Strong BUY,False,,False,,,400.0,1.26,0.0368,0.208,0.7242,2026-08-05T12:55:23.707775,6
