ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
RUN,RUN,USA,--,--,13.99,USD,22.44,37.7,3337.3,10006.2,-26.26,-39.37,Bearish,Strong BUY,,2957.0,1.27,2026-05-17T11:42:19.036523
NOV,NOV,USA,--,--,20.37,USD,20.93,2.7,7310.6,4948.4,29.87,25.77,Bullish,BUY,,8744.0,1.67,2026-05-17T11:42:19.169955
CNTN,CNTN,USA,--,--,3.62,USD,9.08,60.1,205.1,592.8,-65.54,-67.76,OVERSOLD,Strong BUY,,0.0,5.29,2026-05-17T11:42:19.227978
NOMD,NOMD,USA,--,--,9.8,USD,18.33,46.5,1370.0,1682.7,-71.47,-78.51,OVERSOLD,Strong BUY,,3032.5,0.66,2026-05-17T11:42:19.672573
SJM,SJM,USA,--,--,100.54,USD,119.39,15.8,10722.4,2227.1,-32.14,-42.63,Bearish,Strong BUY,,8726.1,,2026-05-17T11:42:19.703178
VRTX,VRTX,USA,--,--,436.95,USD,507.92,14.0,110900.3,1283.9,-67.31,-69.47,OVERSOLD,Strong BUY,,12001.3,2.46,2026-05-17T11:42:19.781662
ET,ET,USA,--,--,20.15,USD,20.67,2.5,69339.4,16214.5,37.06,35.49,Bullish,BUY,,85536.0,0.9,2026-05-17T11:42:19.870737
PSX,PSX,USA,--,--,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,,132376.0,0.91,2026-05-17T11:42:19.931721
PAGP,PAGP,USA,--,--,24.56,USD,24.76,0.8,4860.5,1927.1,37.01,36.11,Bullish,BUY,,44262.0,0.92,2026-05-17T11:42:19.995016
PATK,PATK,USA,--,--,91.19,USD,148.5,38.6,2999.5,463.9,-67.38,-68.83,OVERSOLD,Strong BUY,,3950.8,0.8,2026-05-17T11:42:20.037891
CMCO,CMCO,USA,--,--,14.28,USD,24.4,41.5,410.4,405.3,-39.05,-44.84,Bearish,Strong BUY,,963.0,1.04,2026-05-17T11:42:20.152230
ESTC,ESTC,USA,--,--,50.6,USD,96.07,47.3,5237.2,2154.3,-24.41,-40.16,Bearish,Strong BUY,,1483.3,1.92,2026-05-17T11:42:20.555568
WBI,WBI,USA,--,--,30.72,USD,30.87,0.5,1444.3,906.9,53.93,47.92,OVERBOUGHT,BUY,,525.6,1.38,2026-05-17T11:42:20.704624
EBS,EBS,USA,--,--,7.94,USD,14.06,43.5,409.7,867.0,-39.62,-49.85,Bearish,Strong BUY,,705.2,2.41,2026-05-17T11:42:20.867292
YOOV,YOOV,USA,--,--,1.28,USD,31.06,95.9,290.5,1103.7,-54.61,-58.87,OVERSOLD,Strong BUY,,10.5,1.17,2026-05-17T11:42:20.946998
BEP,BEP,USA,--,--,34.37,USD,35.97,4.4,10423.6,850.9,46.47,49.62,OVERBOUGHT,Turning Up,,6407.0,0.56,2026-05-17T11:42:21.014069
VIRT,VIRT,USA,--,--,54.49,USD,55.33,1.5,4742.0,1241.2,73.18,69.38,OVERBOUGHT,BUY,,3632.1,1.69,2026-05-17T11:42:21.231440
PLSE,PLSE,USA,--,--,24.55,USD,27.98,12.3,1699.1,321.9,4.75,6.65,Bullish,Turning Up,,0.3,10.51,2026-05-17T11:42:21.422827
OLLI,OLLI,USA,--,--,78.49,USD,141.74,44.6,4761.3,1416.2,-79.42,-77.71,OVERSOLD,Turning Up,,2649.2,0.78,2026-05-17T11:42:21.473501
MTA,MTA,USA,--,--,6.81,USD,9.25,26.4,636.3,492.6,-39.3,-41.66,Bearish,Strong BUY,,5.9,0.93,2026-05-17T11:42:21.532195
SEDG,SEDG,USA,--,--,61.76,USD,63.53,2.8,3756.1,4054.3,30.64,21.35,Bullish,BUY,,1184.4,1.48,2026-05-17T11:42:21.640096
GRAL,GRAL,USA,--,--,59.65,USD,118.84,49.8,2560.0,1233.9,-16.61,-35.67,Bearish,Strong BUY,,147.2,11.77,2026-05-17T11:42:22.119635
WIT,WIT,USA,--,--,1.89,USD,3.13,39.6,19816.9,13330.8,-81.56,-79.57,OVERSOLD,Turning Up,,890884.0,2.71,2026-05-17T11:42:22.343928
NUAI,NUAI,USA,--,--,4.88,USD,9.44,48.3,484.8,4874.6,-29.87,-39.64,Bearish,Strong BUY,,0.9,1.57,2026-05-17T11:42:22.390025
SKE,SKE,USA,--,--,30.99,USD,38.77,20.1,3779.0,804.3,-3.28,-5.19,Bearish,BUY,,0.0,1.82,2026-05-17T11:42:22.586147
ASTS,ASTS,USA,--,--,83.67,USD,129.89,35.6,24996.1,15700.5,-40.75,-45.13,OVERSOLD,Strong BUY,,70.9,16.27,2026-05-17T11:42:22.839862
RAPP,RAPP,USA,--,--,37.07,USD,42.27,12.3,1772.9,346.5,46.05,45.91,OVERBOUGHT,BUY,,0.0,26.17,2026-05-17T11:42:22.890876
CGEM,CGEM,USA,--,--,15.73,USD,16.74,6.0,966.7,854.5,4.46,-0.59,Bullish,BUY,,0.0,10.25,2026-05-17T11:42:23.456497
MO,MO,USA,--,--,73.09,USD,74.56,2.0,122052.3,9447.3,47.11,42.93,OVERBOUGHT,BUY,,20139.0,0.53,2026-05-17T11:42:23.507951
CLX,CLX,USA,--,--,90.45,USD,136.69,33.8,10937.3,2644.4,-73.73,-74.48,OVERSOLD,Strong BUY,,7104.0,0.57,2026-05-17T11:42:23.542987
VLO,VLO,USA,--,--,250.74,USD,258.43,3.0,74452.9,3650.6,46.26,45.78,OVERBOUGHT,BUY,,122687.0,1.11,2026-05-17T11:42:23.695709
BAK,BAK,USA,--,--,4.9,USD,5.39,9.2,1952.6,2834.2,-26.71,-40.2,Bearish,Strong BUY,,70717.0,0.5,2026-05-17T11:42:23.795570
UMAC,UMAC,USA,--,--,16.2,USD,23.38,30.7,774.3,4449.7,-39.19,-42.26,Bearish,Strong BUY,,11.2,59.27,2026-05-17T11:42:24.184569
KYTX,KYTX,USA,--,--,9.49,USD,13.67,30.6,576.9,873.6,-4.57,-3.29,Bearish,Turning Up,,0.0,7.75,2026-05-17T11:42:24.256590
IAUX,IAUX,USA,--,--,1.48,USD,2.24,33.9,1275.8,16975.3,-26.34,-26.65,Bearish,BUY,,95.2,0.51,2026-05-17T11:42:24.562887
CWH,CWH,USA,--,--,6.63,USD,19.64,66.2,421.1,3504.5,-37.62,-45.3,Bearish,Strong BUY,,6369.1,0.23,2026-05-17T11:42:24.743384
SIBN,SIBN,USA,--,--,14.16,USD,21.89,35.3,628.0,729.8,-34.04,-45.47,Bearish,Strong BUY,,200.9,7.21,2026-05-17T11:42:25.031108
AMBP,AMBP,USA,--,--,3.95,USD,5.03,21.5,2360.9,1528.6,-51.61,-53.09,OVERSOLD,Strong BUY,,5497.0,0.77,2026-05-17T11:42:25.151146
SU,SU,USA,--,--,68.29,USD,70.29,2.8,80633.1,4780.5,52.6,54.34,OVERBOUGHT,Turning Up,,52377.0,0.89,2026-05-17T11:42:25.365869
BZH,BZH,USA,--,--,22.12,USD,28.33,21.9,604.6,562.4,-36.1,-41.22,Bearish,Strong BUY,,2371.6,1.45,2026-05-17T11:42:25.417281
ALL,Allstate Corporation (The),USA,United States,Financial Services,217.37,USD,222.23,2.2,55955.6,1464.0,38.95,38.71,Bullish,BUY,45.19,67069.0,,2026-05-17T11:42:25.909470
BLCO,Bausch + Lomb Corporation,USA,Canada,Healthcare,16.09,USD,18.92,14.9,5736.7,473.4,-37.22,-39.32,Bearish,Strong BUY,-0.62,5101.0,1.04,2026-05-17T11:42:26.252988
COST,Costco Wholesale Corporation,USA,United States,Consumer Defensive,1048.95,USD,1067.08,1.7,465369.3,1814.9,46.93,40.37,OVERBOUGHT,BUY,19.2,275235.0,0.55,2026-05-17T11:42:26.255397
SEPN,"Septerna, Inc.",USA,United States,Healthcare,26.95,USD,32.63,17.4,1214.8,326.7,-50.72,-57.68,OVERSOLD,Strong BUY,-0.8,46.0,4.73,2026-05-17T11:42:26.292835
CNQ,Canadian Natural Resources Limi,USA,Canada,Energy,47.98,USD,51.34,6.5,100072.4,11350.4,6.11,12.28,Bullish,Turning Up,4.07,44167.0,0.63,2026-05-17T11:42:26.386400
SPIR,"Spire Global, Inc.",USA,United States,Industrials,20.01,USD,23.59,15.2,774.6,1501.8,37.73,38.42,Bullish,Turning Up,1.59,71.6,1.3,2026-05-17T11:42:26.472583
TRGP,"Targa Resources, Inc.",USA,United States,Energy,271.99,USD,273.11,0.4,58381.0,1463.4,56.01,53.31,OVERBOUGHT,BUY,9.79,17028.3,0.55,2026-05-17T11:42:26.545885
SCHW,Charles Schwab Corporation (The,USA,United States,Financial Services,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,5.03,23921.0,,2026-05-17T11:42:26.746026
NMAX,"Newsmax, Inc.",USA,United States,Communication Services,7.2,USD,27.49,73.8,930.0,1551.5,-46.87,-45.18,OVERSOLD,Turning Up,-0.49,189.3,2.38,2026-05-17T11:42:26.853864
EXK,Endeavour Silver Corporation,USA,Canada,Basic Materials,9.81,USD,15.15,35.2,2904.4,9896.5,-37.67,-42.66,Bearish,Strong BUY,-0.06,467.5,1.3,2026-05-17T11:42:27.034843
SLS,"SELLAS Life Sciences Group, Inc",USA,United States,Healthcare,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,-0.23,0.0,10.72,2026-05-17T11:42:27.142766
