ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,divergence_bull,divergence_desc,vol_confirm,rs_12m,eps_ttm,sales_ttm_mln,quick_ratio,roic,debt_equity,gross_margin,scanned_at,tech_score
ISSC,ISSC,USA,--,--,18.75,USD,30.94,39.4,335.5,568.3,-64.47,-67.84,OVERSOLD,Strong BUY,False,,False,,,84.3,1.5,0.1872,0.374,0.4806,2026-06-12T14:23:02.234383,7
CALM,CALM,USA,--,--,79.78,USD,126.4,36.9,3779.5,847.8,-31.4,-42.7,Bearish,Strong BUY,False,,False,,,4261.9,5.42,0.5128,0.001,0.4343,2026-06-12T14:23:01.323579,6
HDB,HDB,USA,--,--,24.16,USD,39.81,39.3,123965.3,10265.5,-72.12,-72.29,OVERSOLD,Strong BUY,False,,True,,,2371508.2,,,,,2026-06-12T14:23:04.923121,6
PICS,PICS,USA,--,--,11.28,USD,19.95,43.5,1461.7,540.3,-51.23,-55.7,OVERSOLD,Strong BUY,False,,False,,,,,,,,2026-06-12T14:23:08.327395,5
AMPH,AMPH,USA,--,--,20.31,USD,31.26,35.0,895.3,598.7,-31.95,-38.51,Bearish,Strong BUY,False,,False,,,,2.9,,0.832,,2026-06-12T14:23:09.822883,5
G,G,USA,--,--,31.9,USD,48.64,34.4,5406.4,2791.4,-38.34,-46.22,Bearish,Strong BUY,False,,False,,,,1.66,,0.692,,2026-06-12T14:23:10.590104,5
TENX,TENX,USA,--,--,11.96,USD,18.38,34.9,317.2,585.6,-61.83,-55.99,OVERSOLD,Turning Up,False,,True,,,0.0,14.56,,0.005,,2026-06-12T14:22:55.399264,4
WGO,WGO,USA,--,--,28.96,USD,50.16,42.3,818.6,676.0,-59.86,-59.76,OVERSOLD,Turning Up,True,"div_bull (cena -4.1%, SMI +23.8)",False,,,,,,,,2026-06-12T14:23:08.233195,4
ZURA,ZURA,USA,--,--,3.72,USD,7.44,50.0,353.0,727.8,-76.54,-74.48,OVERSOLD,Turning Up,False,,False,,,0.0,9.05,,0.076,,2026-06-12T14:22:51.900834,3
LRMR,LRMR,USA,--,--,3.68,USD,6.42,42.7,382.3,1789.7,-68.29,-64.81,OVERSOLD,Turning Up,False,,False,,,0.0,2.19,,0.052,,2026-06-12T14:22:55.295573,3
EVTC,EVTC,USA,--,--,25.92,USD,37.78,31.4,1597.5,540.1,-45.57,-42.6,OVERSOLD,Turning Up,False,,True,,,,,,,,2026-06-12T14:23:06.555843,3
FSLY,FSLY,USA,--,--,19.2,USD,34.82,44.9,3004.8,11403.0,-70.22,-64.52,OVERSOLD,Turning Up,False,,False,,,,2.61,,0.463,,2026-06-12T14:23:07.186686,3
LCTX,LCTX,USA,--,--,1.27,USD,2.09,39.0,317.9,1191.6,-73.78,-72.52,OVERSOLD,Turning Up,False,,False,,,14.6,,,,0.99,2026-06-12T14:23:04.929256,2
ITRG,ITRG,USA,--,--,2.45,USD,4.87,49.7,495.5,3001.6,-68.78,-68.61,OVERSOLD,Turning Up,False,,False,,,,,,,,2026-06-12T14:23:08.265941,2
PAHC,PAHC,USA,--,--,31.58,USD,60.08,47.4,1281.2,367.5,-79.95,-73.72,OVERSOLD,Turning Up,False,,False,,,,,,,,2026-06-12T14:23:11.593333,2
IIIV,IIIV,USA,--,--,20.12,USD,33.97,40.8,393.4,367.8,-46.07,-44.86,OVERSOLD,Turning Up,False,,False,,,,,,,,2026-06-12T14:23:11.641469,2
TBBK,TBBK,USA,--,--,57.03,USD,81.65,30.1,2374.6,449.0,-28.21,-24.47,Bearish,Turning Up,False,,False,,,703.8,,,0.324,,2026-06-12T14:23:09.703135,1
BULL,BULL,USA,--,--,6.67,USD,18.32,63.6,3547.2,13614.4,20.51,24.83,Bullish,Turning Up,False,,False,,,,,,,,2026-06-12T14:23:08.236011,0
