ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
VIRT,VIRT,USA,--,--,54.49,USD,55.33,1.5,4742.0,1241.2,73.18,69.38,OVERBOUGHT,BUY,,3632.1,1.69,2026-05-17T10:47:05.016169
SCHW,SCHW,USA,--,--,90.88,USD,107.5,15.5,158052.6,10454.9,-64.65,-65.05,OVERSOLD,Strong BUY,,23921.0,,2026-05-17T10:47:05.192979
TH,TH,USA,--,--,18.66,USD,18.93,1.4,1869.1,1132.2,82.18,79.62,OVERBOUGHT,BUY,,320.6,0.87,2026-05-17T10:47:05.379584
MBI,MBI,USA,--,--,5.86,USD,8.26,29.1,298.5,346.4,-53.65,-52.48,OVERSOLD,Turning Up,,80.0,,2026-05-17T10:47:05.464556
SIBN,SIBN,USA,--,--,14.16,USD,21.89,35.3,628.0,729.8,-34.04,-45.47,Bearish,Strong BUY,,200.9,7.21,2026-05-17T10:47:05.509251
KYTX,KYTX,USA,--,--,9.49,USD,13.67,30.6,576.9,873.6,-4.57,-3.29,Bearish,Turning Up,,0.0,7.75,2026-05-17T10:47:05.692843
CVE,CVE,USA,--,--,30.82,USD,30.85,0.1,57473.7,12965.6,71.57,68.01,OVERBOUGHT,BUY,,52751.0,1.04,2026-05-17T10:47:05.764534
SLS,SLS,USA,--,--,7.08,USD,7.8,9.2,1317.1,6862.5,17.45,6.11,Bullish,BUY,,0.0,10.72,2026-05-17T10:47:06.190069
NN,NN,USA,--,--,21.49,USD,24.19,11.2,2932.0,2129.7,21.96,19.02,Bullish,BUY,,4.6,12.71,2026-05-17T10:47:06.207452
BLCO,BLCO,USA,--,--,16.09,USD,18.92,14.9,5736.7,473.4,-37.22,-39.32,Bearish,Strong BUY,,5101.0,1.04,2026-05-17T10:47:06.214603
RDY,RDY,USA,--,--,13.61,USD,16.17,15.8,11362.9,2543.7,-16.33,-21.91,Bearish,BUY,,325535.0,1.37,2026-05-17T10:47:06.338410
BEP,BEP,USA,--,--,34.37,USD,35.97,4.4,10423.6,850.9,46.47,49.62,OVERBOUGHT,Turning Up,,6407.0,0.56,2026-05-17T10:47:06.577371
SD,SD,USA,--,--,15.27,USD,18.45,17.2,563.7,404.0,-48.02,-44.5,OVERSOLD,Turning Up,,156.4,2.17,2026-05-17T10:47:06.618673
VZLA,VZLA,USA,--,--,3.5,USD,7.19,51.3,1223.2,8539.1,-38.35,-48.28,Bearish,Strong BUY,,0.0,34.06,2026-05-17T10:47:07.406073
ALL,ALL,USA,--,--,217.37,USD,222.23,2.2,55955.6,1464.0,38.95,38.71,Bullish,BUY,,67069.0,,2026-05-17T10:47:07.480003
SJM,SJM,USA,--,--,100.54,USD,119.39,15.8,10722.4,2227.1,-32.14,-42.63,Bearish,Strong BUY,,8726.1,0.35,2026-05-17T10:47:07.648900
BSM,BSM,USA,--,--,14.01,USD,15.49,9.6,2977.1,455.6,-29.85,-29.38,Bearish,Strong BUY,,422.3,3.88,2026-05-17T10:47:07.880737
SARO,SARO,USA,--,--,25.25,USD,34.48,26.8,8394.9,4190.6,-68.16,-70.14,OVERSOLD,Strong BUY,,6062.5,1.57,2026-05-17T10:47:07.922245
FRMI,FRMI,USA,--,--,6.51,USD,36.99,82.4,4150.6,14178.2,-62.67,-68.29,OVERSOLD,Strong BUY,,0.0,2.31,2026-05-17T10:47:08.103314
VG,VG,USA,--,--,14.23,USD,19.5,27.0,35352.4,26828.5,-21.54,-13.96,Bearish,Turning Up,,13769.0,0.87,2026-05-17T10:47:08.204266
SENS,SENS,USA,--,--,5.77,USD,12.58,54.1,301.2,702.3,-51.08,-44.5,OVERSOLD,Turning Up,,35.3,4.55,2026-05-17T10:47:08.292863
HLIO,HLIO,USA,--,--,77.03,USD,80.0,3.7,2545.6,377.4,8.05,-3.23,Bullish,BUY,,839.0,1.58,2026-05-17T10:47:08.781889
CNTN,CNTN,USA,--,--,3.62,USD,9.08,60.1,205.1,592.8,-65.54,-67.76,OVERSOLD,Strong BUY,,0.0,5.29,2026-05-17T10:47:09.321954
PSX,PSX,USA,--,--,176.2,USD,190.61,7.6,70644.7,3197.2,5.75,5.45,Bullish,BUY,,132376.0,0.91,2026-05-17T10:47:09.377882
CNCK,CNCK,USA,--,--,2.03,USD,9.31,78.2,275.9,1015.8,-32.57,-43.53,Bearish,Strong BUY,,383330.0,1.07,2026-05-17T10:47:09.550220
MICC,MICC,USA,--,--,16.66,USD,19.93,16.4,10209.9,1624.2,-6.61,-34.2,Bearish,Strong BUY,,7910.0,0.74,2026-05-17T10:47:09.703226
CDRE,CDRE,USA,--,--,29.78,USD,48.76,38.9,1274.5,427.3,-73.58,-75.99,OVERSOLD,Strong BUY,,610.3,2.54,2026-05-17T10:47:09.975687
OABI,OABI,USA,--,--,2.18,USD,2.3,5.0,316.0,544.9,-12.12,-38.87,Bearish,Strong BUY,,18.7,4.02,2026-05-17T10:47:10.038397
CNQ,CNQ,USA,--,--,47.98,USD,51.34,6.5,100072.4,11350.4,6.11,12.28,Bullish,Turning Up,,44167.0,0.63,2026-05-17T10:47:10.250317
GRAL,GRAL,USA,--,--,59.65,USD,118.84,49.8,2560.0,1233.9,-16.61,-35.67,Bearish,Strong BUY,,147.2,11.77,2026-05-17T10:47:10.334526
SKE,SKE,USA,--,--,30.99,USD,38.77,20.1,3779.0,804.3,-3.28,-5.19,Bearish,BUY,,0.0,1.82,2026-05-17T10:47:10.629353
TRP,TRP,USA,--,--,68.24,USD,68.3,0.1,71090.2,2564.9,56.26,47.74,OVERBOUGHT,BUY,,15239.0,0.56,2026-05-17T10:47:10.638555
EL,EL,USA,--,--,80.28,USD,121.64,34.0,29044.9,4452.4,-36.74,-47.46,Bearish,Strong BUY,,14326.0,0.92,2026-05-17T10:47:10.830869
CAH,CAH,USA,--,--,195.2,USD,233.6,16.4,45717.0,1906.3,-61.8,-58.89,OVERSOLD,Turning Up,,222578.0,0.5,2026-05-17T10:47:11.543563
BAK,BAK,USA,--,--,4.9,USD,5.39,9.2,1952.6,2834.2,-26.71,-40.2,Bearish,Strong BUY,,70717.0,0.5,2026-05-17T10:47:11.617685
GLOB,GLOB,USA,--,--,38.91,USD,107.12,63.7,1680.1,1571.0,-61.54,-62.87,OVERSOLD,Strong BUY,,2454.9,1.64,2026-05-17T10:47:11.880271
IRDM,IRDM,USA,--,--,41.62,USD,44.61,6.7,4400.4,2264.2,68.08,68.76,OVERBOUGHT,Turning Up,,871.7,1.82,2026-05-17T10:47:11.986311
ENB,ENB,USA,--,--,55.31,USD,56.22,1.6,120780.3,4726.9,44.36,46.39,OVERBOUGHT,Turning Up,,65194.0,0.55,2026-05-17T10:47:12.053716
IAUX,IAUX,USA,--,--,1.48,USD,2.24,33.9,1275.8,16975.3,-26.34,-26.65,Bearish,BUY,,95.2,0.51,2026-05-17T10:47:12.105421
